index	Neme	Életkora	Gyermeke	Isk	Anyagi	PÉlmény%	Testi-Fi	ÁltLelki	ÁltEgÁll	Fizerõ	Arcocska	Aggodalo	Ideges	Feszült	Nyugtala	Diener1	Diener2	Diener3	Diener4	Diener5	Diener6	Diener7	Diener8	Jóllét	Savor	AVhat	Önreg	Rezil	M_Flow	GJérz	GJpszi	GJszoc	GJspir	GJérzpsz	GJspszoc	PIK_MM	PIK_AV	PIK_Önr	PIK_Rez	PPozÉrz	PElmély	PPozKapc	PÉrtCél	PTelj	PBoldog	PEgészs	PNegÉrz	PMagány	PERMA
511	1	57	2	3	3	40	5	4	5	5	1	2	2	2	2	6	6	6	6	6	6	6	6	5.3333	5	5	5.3333	5	5.3333	4.4	4.5	5	5	4.45	5	4	4	3.6667	3	24	19	24	23	26	9	22	10	3	174
514	2	54	3	2	3	70	4	6	5	3	1	1	1	1	2	7	7	7	7	6	6	7	6	6	5.6667	5	3.3333	4	5.3333	6	5.5	5.75	5.75	5.75	5.75	3.6667	3.75	3.3333	4	27	22	28	27	24	9	20	5	2	190
517	2	32	0	3	3	70	5	5	4	3	3	1	1	1	1	6	4	5	4	5	6	7	6	5	4.3333	4.2	5	3	5	4.2	4.25	3	3.75	4.225	3.375	3.1667	3	3.6667	3.3333	25	22	26	26	24	8	28	4	1	194
518	2	57	3	2	3	60	3	3	2	3	2	3	3	3	2	5	6	5	6	6	6	6	5	4	4.6667	4.6	3.6667	3.6667	5	3.2	3.5	3.25	4	3.35	3.625	2.8333	2.75	2.3333	2.3333	21	25	25	23	18	8	19	11	3	165
519	2	55	1	2	2	40	3	4	3	3	3	3	2	3	3	5	4	4	4	6	6	6	4	3	5.6667	4.4	2.3333	3	5.6667	3.2	4	2.5	3.75	3.6	3.125	2.8333	3.5	2.3333	2.3333	19	25	18	20	18	7	11	13	10	135
522	2	37	0	3	4	70	4	4	4	5	2	2	2	3	1	6	5	6	6	5	6	6	6	5.3333	4	4.8	4.3333	2.6667	4	4.8	4.75	4.75	5	4.775	4.875	2.6667	3.25	3.3333	3.3333	22	24	26	24	25	9	25	9	3	183
524	2	52	2	3	3	70	5	4	5	5	3	4	3	3	1	7	7	7	7	7	6	6	6	5.3333	5.3333	5.8	3.3333	5	6	5.2	5.5	6	6	5.35	6	3.6667	4	3	3.6667	26	22	28	28	30	9	28	4	0	207
529	2	47	1	3	3	20	3	5	3	3	2	4	4	4	5	6	6	6	5	6	6	6	5	5.3333	5.3333	5.2	5.3333	4.3333	5.3333	5	5.25	3	2.5	5.125	2.75	3.5	4	3.6667	4	25	22	29	27	25	9	18	6	0	189
531	2	35	1	3	3	40	2	4	2	3	4	3	4	3	4	6	5	4	4	4	5	6	5	3.6667	4	3.8	3	3.3333	4.3333	3.2	3.75	2.5	4.25	3.475	3.375	2.5	3.25	2	2.6667	17	19	21	22	17	7	17	18	0	142
536	2	54	0	4	3	50	4	4	4	4	3	3	4	3	3	6	6	6	6	6	6	6	6	4.3333	6	5	4.3333	4	5.3333	3.4	4	3.75	4	3.7	3.875	3.3333	3.5	3	3.6667	15	27	21	22	21	5	20	15	5	151
549	1	57	2	4	3	80	5	5	5	5	2	2	2	2	2	6	6	6	6	6	6	6	6	5.3333	5	5	6	5	5	5	5	5	5	5	5	3	3	4	3.6667	24	18	23	20	24	8	21	6	2	170
552	2	68	1	2	3	50	4	3	6	4	3	3	3	3	3	6	7	6	6	6	6	7	7	5	5.6667	4.2	5.3333	3.6667	4.3333	4.4	4.5	3.5	3	4.45	3.25	3.1667	2.75	3.6667	4	22	22	25	19	24	8	23	5	1	177
554	2	51	9	3	4	70	5	4	5	6	1	4	4	1	6	6	6	7	7	7	6	7	7	5.3333	6	5.6	4	3.6667	6	5.4	4.75	4.5	5.25	5.075	4.875	3.5	3.75	2.3333	3.3333	27	28	29	28	20	9	25	11	2	193
564	2	43	3	3	3	30	4	3	3	3	3	4	3	3	5	4	5	5	5	6	6	6	5	3.6667	4.3333	4.2	4.3333	1	3.6667	3.8	4	3	3	3.9	3	2.6667	3.25	3	1	20	19	18	22	20	8	24	16	6	149
568	2	52	0	3	3	50	5	5	5	5	3	4	3	3	1	4	4	5	5	5	6	6	5	3.6667	3.6667	3.2	5.3333	4	4	4	3.75	3.75	3	3.875	3.375	2.5	2.25	3.6667	3.3333	24	21	25	23	20	10	26	10	2	177
577	2	58	3	4	3	60	4	4	4	3	3	3	3	3	3	6	6	6	6	5	5	5	5	5	4.6667	4.2	3.3333	3.6667	5.3333	4.2	4.75	3.5	4.5	4.475	4	3.3333	3.25	3	3.6667	24	24	25	26	23	8	22	10	1	181
580	2	43	9	2	3	30	4	3	4	3	4	4	4	4	3	3	5	4	4	5	5	6	5	3.3333	4	3	3	3.6667	3	3.6	2.75	2.25	2.5	3.175	2.375	2.1667	2	2.3333	2	19	15	14	17	13	6	18	18	2	122
583	2	54	1	3	3	90	5	6	5	6	1	1	1	1	1	7	6	7	6	7	6	7	7	6	4.6667	5.6	5.6667	3.6667	5.3333	5.8	5.75	6	5.25	5.775	5.625	3.5	3.75	4	4	27	22	26	29	29	10	26	4	1	204
595	2	53	2	4	2	70	4	3	4	4	1	2	2	2	2	4	5	5	4	4	6	6	4	3.6667	3.3333	3.4	4.3333	3.6667	3.3333	3.6	3.25	2.5	4.5	3.425	3.5	3	2.25	4	2.3333	21	23	20	22	21	7	24	12	6	160
599	2	58	4	2	3	60	5	5	5	5	1	1	1	1	1	6	6	6	6	6	6	6	6	4.6667	5.3333	4.8	4.3333	5.6667	4.6667	5	5	5.25	5.25	5	5.25	2.5	2.5	3.6667	3.6667	25	25	24	26	22	7	25	10	4	180
603	2	53	2	3	3	90	6	6	6	6	1	1	1	1	1	7	7	7	7	7	7	7	7	6	6	6	6	4	5.3333	6	6	5.75	6	6	5.875	4	4	4	4	30	21	30	30	28	10	30	1	0	218
604	2	50	1	4	3	60	5	5	5	6	3	2	2	2	2	6	6	6	6	6	6	4	6	4.6667	5	5.4	4.3333	4.6667	5	4.4	4.75	5	2	4.575	3.5	3.6667	3.5	3.3333	3.6667	23	23	28	29	26	10	28	8	0	199
606	2	48	2	1	4	80	5	5	5	5	1	1	1	1	1	4	5	4	5	6	6	5	7	4.6667	4.6667	4.6	3.6667	4.3333	4.3333	5.2	5.25	5.25	5.5	5.225	5.375	2.8333	3	4	3.3333	26	27	29	25	26	9	28	1	0	209
608	1	62	0	2	3	50	4	3	4	4	3	2	2	3	1	4	2	3	3	5	5	5	4	4.3333	4.6667	4.4	4.6667	4	4.3333	3.2	4	1.5	2	3.6	1.75	2.6667	2.75	3	2.6667	21	23	15	18	21	5	17	12	5	143
609	2	62	2	3	3	80	4	5	4	4	2	1	1	1	1	7	6	6	7	7	6	6	6	5	5	5.2	5	3.6667	6	4.4	5.25	4.25	5	4.825	4.625	3.5	3.75	4	3.6667	26	26	24	23	24	8	22	6	8	179
615	2	55	2	3	3	30	5	4	5	5	2	6	2	6	3	7	7	7	7	7	7	7	7	6	6	6	5.6667	5	6	5.8	5.75	5.75	5.5	5.775	5.625	4	4	4	4	26	29	29	30	27	9	24	6	2	206
621	2	46	3	3	3	60	6	4	5	6	3	5	4	4	1	7	7	7	7	7	7	7	7	6	5	5.8	4.3333	5	4	5.8	5.75	6	6	5.775	6	3.3333	3.75	4	2.6667	25	17	29	27	22	9	27	9	0	187
623	1	35	0	2	2	80	5	2	3	4	2	5	2	5	2	2	5	4	5	4	6	6	6	3.3333	4	4	4.3333	3	3.6667	2.2	3.25	4.25	5.25	2.725	4.75	2.5	2.75	3.6667	1.6667	12	20	22	14	6	3	22	19	5	115
635	2	69	1	2	3	90	5	5	5	5	2	4	4	4	4	6	7	7	7	6	7	7	7	5	5.3333	4.4	4.6667	4.3333	5.3333	5	5.25	5.5	6	5.125	5.75	2.6667	2.75	3	4	23	25	26	24	26	9	25	8	3	187
641	2	47	3	2	3	80	5	5	5	6	2	2	2	2	2	5	5	6	5	6	6	6	5	5.3333	4.3333	5	5	5	5.3333	4	4.5	4.5	4.25	4.25	4.375	3	2.75	2.6667	3.6667	24	28	21	28	26	7	29	9	7	187
643	2	74	3	3	3	30	3	2	2	3	4	2	2	2	1	5	4	5	4	4	4	4	6	3.3333	3.6667	3.2	3	3.3333	4	2.2	2.5	3	3	2.35	3	2	2.25	2.6667	3	10	15	18	16	15	3	7	16	7	101
646	2	65	3	2	3	50	4	4	3	4	2	5	4	5	4	5	5	6	6	6	6	6	4	5	5	5	4.6667	5	5.6667	4.4	3.75	4	4	4.075	4	3.1667	3.5	3	3.6667	21	22	20	22	22	7	17	12	2	157
647	1	77	2	1	2	50	4	4	4	5	2	4	3	3	2	6	4	6	4	6	6	7	6	4	6	5.4	4.6667	4.6667	6	3.8	4.75	5.25	5.75	4.275	5.5	3.1667	3.75	3	3.6667	19	18	15	23	17	3	22	9	2	146
651	1	47	1	3	3	30	3	2	3	3	4	3	3	3	2	6	4	4	4	5	5	7	5	3.3333	3.3333	5.2	3.3333	3.3333	5	3.4	4.5	2.5	3.5	3.95	3	2.5	3.75	2.6667	4	17	20	17	20	24	5	18	17	6	138
653	2	45	1	4	3	40	3	3	2	3	5	4	3	2	4	3	3	3	4	5	4	3	4	3	4	3.2	4.3333	2.6667	2	2.6	3	2.75	3.25	2.8	3	2.5	2.75	3	2	10	8	12	18	17	3	13	15	9	97
659	2	65	1	4	3	70	4	4	4		3	3	4	2	4	7	6	6	6	6	7	6	6	4.3333	4.6667	5.2	4.6667	3	5.6667	4.2	4.25	3.5	4	4.225	3.75	3	3.75	3.3333	3.6667	22	20	27	24	25	7	25	10	7	173
664	2	64	0	3	3	90	4	2	5	4	1	1	1	1	1	5	6	6	6	6	6	6	6	4.3333	5.3333	5	5	4	5.3333	6	5	5	5.25	5.5	5.125	3.8333	4	2.3333	2.6667	26	28	29	26	28	10	22	5	1	203
669	2	52	0	2	3	30	4	3	4	3	3	4	3	3	6	4	4	4	5	5	5	4	6	3	4.3333	3.2	3.6667	3.3333	3.6667	2.8	4	3.25	3.75	3.4	3.5	2.5	3.75	2.3333	1.6667	20	24	20	21	15	2	26	20	8	140
673	2	66	2	3	4	90	6	6	6	6	1	1	1	1	1	7	7	7	7	7	7	7	7	6	6	5.8	6	6	5.6667	5.8	6	6	6	5.9	6	4	4	4	4	30	18	29	23	27	10	30	2	0	205
685	1	59	2	2	2	30	4	4	5	4	3	2	2	3	2	4	4	5	4	5	5	6	4	4	4.6667	2.8	4.6667	3.6667	4	3.6	3.5	3.25	4.5	3.55	3.875	2.6667	2	2.6667	2.3333	20	22	19	18	21	8	23	7	2	162
686	2	45	3	2	4	20	3	3	2	3	3	3	3	3	3	6	6	6	6	6	6	6	6	4	5	4.2	2.6667	3.6667	4.6667	3.6	4	4	4	3.8	4	3.3333	3.25	3	2.6667	25	19	26	22	24	8	20	7	1	176
687	2	45	2	3	3	50	4	2	4	3	5	6	6	6	6	5	6	5	7	6	7	5	6	3.3333	3.3333	5.2	3	3.3333	4.6667	2.8	3.75	4	3.5	3.275	3.75	2.6667	4	1	2.3333	12	19	22	23	24	3	17	17	8	135
691	1	51	0	3	3	70	4	2	3	3	4	3	2	2	2	3	3	4	4	4	4	3	4	2.3333	2.6667	3.2	2	2.3333	4.3333	2.2	2.5	2.75	3.5	2.35	3.125	2.1667	2.5	2	1.6667	12	18	9	16	19	2	23	18	8	113
693	2	50	1	3	4	80	4	4	4	4	3	1	2	1	2	5	5	5	6	5	6	4	6	5.3333	4.6667	4	6	4	4.6667	4.2	4.5	4.5	4.5	4.35	4.5	2.8333	2.75	4	4	24	21	21	22	26	7	20	4	4	173
695	2	47	0	3	3	60	4	4	5	4	3	3	3	3	2	5	5	6	5	6	5	5	5	5	5	4.6	4	3.6667	5	4	4.5	4.5	4.5	4.25	4.5	2.6667	3	3	3	23	26	16	23	24	7	23	10	3	169
698	2	54	1	3	3	80	4	4	5	4	3	2	2	1	1	5	5	6	6	6	6	7	7	4.6667	6	5.4	5.6667	6	6	4	4.5	4.5	5.5	4.25	5	3.5	3.5	3.6667	4	24	20	25	23	24	8	24	6	5	177
701	2	42	3	3	2	50	4	3	5	5	3	4	4	4	2	7	4	7	6	5	5	6	6	4.6667	4.6667	5.2	3.3333	4.6667	4.6667	4.4	4.75	4.5	4.5	4.575	4.5	3.3333	3.5	3	4	23	25	25	28	28	9	26	14	5	185
707	2	67	1	3	3	70	4	5	5	6	1	2	1	1	5	6	4	7	4	6	6	7	6	5	5	5	6	4.6667	4.6667	4.6	4.25	2.25	4	4.425	3.125	3.1667	3.25	4	4	26	22	19	23	24	9	24	5	2	180
710	2	73	2	4	3	30	5	5	4	5	2	2	2	2	3	6	5	6	4	6	6	6	6	4.6667	5	4.8	5.3333	5	5.3333	4.2	4.25	3	4.5	4.225	3.75	3.6667	3.75	3.6667	3	20	26	18	25	22	8	26	12	6	167
711	2	54	1	2	3	50	5	4	5	5	1	1	1	1	1	6	6	7	6	7	6	4	6	5	5	4.2	3.6667	2.6667	5	5	4.25	4.5	4.75	4.625	4.625	3.3333	3.25	3	2.3333	25	27	28	27	29	10	27	8	0	205
712	2	34	0	2	3	20	4	1	1	2	5	6	6	6	6	1	1	1	6	6	4	1	1	2.3333	2.6667	1.2	1	1	3.6667	1.6	1	1	1.5	1.3	1.25	1.1667	1.5	1	1.3333	3	15	6	7	6	3	15	25	9	61
715	2	57	1	4	3	90	5	6	5	5	2	2	1	1	1	7	7	7	7	7	7	7	7	5	5.6667	6	6	5.3333	5.3333	5.2	5.5	5.75	5.75	5.35	5.75	3.8333	4	4	4	25	27	29	27	28	9	25	4	2	204
716	2	62	2	3	3	80	6	5	5	5	2	2	2	2	2	6	6	6	6	6	6	6	6	4.3333	4	4	3.3333	4	4.3333	5	4	4	4.25	4.5	4.125	3.1667	3.75	2.6667	3.3333	25	24	28	27	27	8	27	10	8	188
718	2	31	2	4	4	20	3	2	3	2	7	6	6	6	5	4	2	4	4	4	4	3	1	3.3333	4.3333	2.4	1.6667	4	4.6667	3	3	2.25	2.5	3	2.375	2	1.5	1	2.6667	5	19	8	18	14	2	11	25	8	84
719	2	55	3	3	3	50	4	4	4	4	3	3	3	3	3	4	4	5	5	5	5	5	5	3.6667	3.3333	3.6	4	3.6667	3.3333	3.8	3.5	3	3.5	3.65	3.25	3.3333	4	2	2	23	20	22	25	22	8	19	10	5	164
721	2	66	2	3	3	50	4	6	4	4	3	4	4	4	4	6	6	6	5	4	7	6	7	5.3333	5.6667	4	4.3333	4.6667	4.6667	4.2	4	4	4	4.1	4	3.1667	2.25	3	3	21	21	21	25	21	5	15	10	5	154
724	2	50	3	4	3	90	5	5	6	5	2	2	2	2	1	6	6	6	6	5	6	6	5	5.3333	5.6667	5.8	5.3333	5.3333	5.3333	5	5.5	5.25	5.5	5.25	5.375	3.8333	3.75	4	4	26	28	28	29	27	8	29	4	0	211
727	2	65	1	2	3	50	4	3	3	3	3	2	3	2	2	3	5	5	5	5	6	6	5	3.6667	3	4.2	5.3333	3.6667	4.6667	3.6	4	1.5	2	3.8	1.75	2.8333	3.25	3.3333	3	22	20	19	20	24	7	20	11	3	158
728	2	65	1	4	3	50	5	5	5	5	1	1	1	1	1	7	6	6	6	6	6	6	6	5	5	4.6	5.3333	4	5	5	5	5	5	5	5	4	4	3.6667	4	26	28	24	28	28	10	21	9	0	196
729	2	56	1	2	3	60	6	5	5	6	2	4	2	3	6	7	6	6	6	7	7	7	6	4	5.3333	5.6	5.6667	5.3333	5.3333	5.8	6	5.75	6	5.9	5.875	3.6667	2.75	3.6667	4	28	27	28	28	27	9	28	4	0	211
738	2	42	3	4	3	90	4	6	4	5	2	1	1	1	1	6	6	7	7	7	7	7	6	6	4	5	5.3333	5.6667	5.3333	6	5.5	5.25	5.75	5.75	5.5	3.5	3.5	4	4	27	27	27	24	28	9	24	3	0	203
740	2	51	2	2	3	70	3	5	3	3	2	1	1	2	1	7	7	7	7	7	7	7	7	5.3333	6	5.8	5	5	5.6667	4.8	5.75	5.75	6	5.275	5.875	3.3333	3.5	3.3333	4	22	25	27	30	26	8	21	7	1	191
742	2	74	2	2	3	70	4		5	4	2	5	4	4	5	5	6	6	5	4	6	6	6	5	4.6667	4.6	5.3333	3.6667	4.6667	4	4	4	4	4	4	3.1667	2.75	4	3	26	14	22	24	22	10	26	1	0	183
760	1	51	2	2	4	70	5	5	5	5	1	1	1	1	1	7	7	7	7	7	7	7	7	6	5.3333	4.4	5.3333	5.6667	5	5.8	5.75	5	5	5.775	5	3.5	3.25	3.3333	4	26	24	28	27	23	10	30	3	0	205
763	2	61	2	2	3	60	5	4	5	4	3	2	3	2	1	7	5	6	6	6	6	6	6	5	4.3333	3.8	3	4	4.6667	4	4	4.75	4.75	4	4.75	2.5	2.75	2.3333	2.6667	23	24	26	26	24	8	19	6	1	183
765	1	48	0	2	3	50	4	3	3	3	4	4	4	4	2	2	4	4	4	4	3	3	4	3.3333	2.6667	3.4	3.3333	2.3333	3.3333	2.2	2.25	1.75	1.75	2.225	1.75	1.5	2	3	2.3333	12	16	10	15	11	4	17	21	9	95
767	2	64	2	3	3	40	6	4	6	6	1	1	1	1	1	7	7	7	7	7	7	7	7	5.3333	5	5	5.6667	5.3333	5.3333	4	4	4.25	4.5	4	4.375	3.8333	4	4	4	28	24	30	30	29	10	30	5	0	216
774	2	72	2	2	3	90	6	6	5	6	1	2	1	1	1	7	5	7	5	7	7	7	5	5.3333	4.3333	4.2	5	3.3333	5.3333	5.6	5.75	5	5.75	5.675	5.375	3.3333	2.75	3.6667	4	25	22	27	26	28	10	23	4	1	196
780	2	58	1	4	3	50	5	4	5	5	2	1	3	2	3	6	6	5	6	5	6	7	6	5	3.6667	5.4	5	4.6667	5	5.2	5	4.25	5.25	5.1	4.75	2.8333	3.75	3	1.6667	16	11	17	17	14	7	26	13	0	135
781	2	54	1	2	3	60	4	2	5	4	5	2	2	2	4	4	3	4	4	4	4	4	2	3	4	3.4	2.6667	2.3333	4.3333	2.6	2.25	2.75	3.25	2.425	3	2	2	2.3333	1.3333	13	15	12	18	19	3	21	13	8	120
786	2	30	0	2	3	60	3	4	3	6	4	4	3	3	3	6	4	5	7	6	6	6	5	4.6667	4	4.2	4	1	4	4	5	3.5	4.75	4.5	4.125	3	3	3	1.3333	20	25	25	27	25	7	20	17	2	170
787	2	54	3	2	3	90	6	6	6	6	1	1	1	1	1	6	6	6	6	6	6	6	6	4	5.3333	5.2	6	5.6667	5.3333	5.6	5.5	4.25	4.5	5.55	4.375	3.1667	3	4	3.3333	29	30	30	29	30	10	30	3	0	225
793	2	55	2	2	3	80	6	5	5	5	1	2	1	1	1	6	6	6	7	7	6	7	6	5.3333	4.3333	5.2	5.6667	4.3333	5	5.2	5	3.25	5.25	5.1	4.25	2.5	3.25	4	4	27	24	21	29	24	9	28	3	0	199
796	2	65	2	4	4	80	3	4	3	3	1	1	1	2	2	6	6	5	6	6	6	5	6	5.3333	5.3333	4.8	5.6667	5	5.3333	5	5	4.75	4.75	5	4.75	3	3	3.6667	4	26	23	24	23	24	9	17	6	2	178
798	1	38	3	4	3	30	5	5	5	5	3	5	5	5	4	7	5	6	7	6	7	5	6	5	2	4.4	4.3333	5	5.6667	4.6	4.75	5	4.5	4.675	4.75	3.3333	2.75	3	3.6667	23	27	21	25	27	7	26	7	5	184
799	2	51	2	3	4	90	5	5	6	5	2	4	2	2	1	7	6	5	5	6	7	7	5	6	5	4.8	5.3333	4.3333	4.6667	5.6	4.25	3	4	4.925	3.5	3.1667	3.75	3.6667	3.6667	27	26	24	27	26	9	30	4	1	204
806	2	58	2	3	2	90	5	6	4	4	1	1	1	1	1	7	7	7	7	6	7	7	6	6	5.6667	5.2	6	4.6667	5	5.8	5.75	5.25	5.5	5.775	5.375	3.6667	3.5	4	4	28	22	28	28	27	10	23	2	0	204
807	2	62	1	3	3	70	4	4	4	3	1	5	3	3	1	7	5	6	4	7	6	7	6	4.6667	6	4.2	4.3333	3.6667	6	5	4.75	4.5	5.75	4.875	5.125	3.1667	3.25	3	3.3333	22	25	24	28	22	8	23	4	1	187
808	2	51	1	2	3	50	4	1		5	5	3	3	2	1	6	6	7	6	6	7	5	7	3	4.6667	4.6	2.3333	2.3333	5.6667	2.8	2.75	3.25	5.5	2.775	4.375	2.3333	3	2.3333	2.6667	14	24	10	24	26	1	24	8	4	151
809	1	58	2	3	4	40	4	3		4	3	4	4	5	2	5	4	5	5	5	5	5	6	3.3333	4	4.2	2.3333	4.3333	4.6667	3	3.75	2.5	3.75	3.375	3.125	2.5	2.5	1.6667	3	13	20	13	19	19	5	20	12	3	134
813	2	46	2	4	3	40	3	4	2	2	4	2	2	2	2	4	2	4	4	4	4	4	4	3	3	4	4.6667	4.3333	4.6667	3.4	2.75	2.25	2	3.075	2.125	2	2.75	3.3333	3	17	21	14	18	19	5	12	7	2	137
815	1	66	4	2	3	70	4	4	3	4	2	2	1	1	2	5	5	5	5	5	6	5	6	4.3333	4	4.2	5.3333	4	5.3333	3.4	3.5	2	3	3.45	2.5	2.6667	2.5	3.3333	3.6667	22	23	23	22	24	7	21	7	1	174
816	2	64	2	2	4	60	5	5	5	6	1	2	2	2	2	6	6	6	6	6	6	6	6	4.6667	4	5.8	4.6667	4.6667	5.6667	4.4	4.75	3.5	3.75	4.575	3.625	3.8333	4	2.6667	3	24	25	22	25	25	7	26	4	1	189
818	2	61	1	2	3	70	4	5	4	3	3	3	4	3	5	4	5	4	5	5	5	6	6	4.3333	4.6667	4.4	5	3.6667	4	3.8	3.75	3.75	4.25	3.775	4	3	2.75	3.3333	2	22	19	24	23	19	7	22	12	5	159
825	1	45	0	2	3	90	4	3	1	2	3	2	3	3	6	4	4	4	4	7	5	5	4	3.6667	5	4.6	5.6667	2	5	3.6	2.75	2.75	3.75	3.175	3.25	1.8333	3.25	3.6667	3.6667	21	26	6	22	25	8	17	14	8	143
829	2	33	1	2	3	20	4	1	2	6	4	4	4	5	4	1	2	2	2	3	2	2	3	2	2	1.8	4.3333	3.3333	3	1.6	3.25	1.75	4.75	2.425	3.25	1.5	2	3	3.3333	10	18	0	26	22	0	16	25	10	97
830	1	51	4	1	3	80	4	6	4	5	1	1	1	1	1	7	6	7	7	7	7	7	7	6	6	5.4	5.6667	5.6667	6	5.2	5	3.75	4.75	5.1	4.25	3.6667	3.75	4	3.6667	28	17	27	25	24	10	23	2	1	191
833	2	52	1	2	4	90	6	6	6	6	1	1	2	1	1	7	6	7	6	6	7	7	6	6	4.3333	5	4.6667	4.6667	5.3333	6	5.5	4.75	6	5.75	5.375	3.3333	3.25	3.3333	3	30	25	29	23	29	10	30	3	0	213
835	2	75	2	4	3	50	4	5	4	3	2	1	1	1	3	5	5	5	5	4	5	4	6	4.3333	3	3.8	4	4	4.3333	3.6	3.25	3.5	3	3.425	3.25	2.1667	2.75	3.3333	4	25	17	22	25	25	8	22	4	5	175
836	2	44	3	3	4	30	4	4	3	5	3	5	5	5	1	6	5	6	5	6	5	4	5	4	4.3333	5	4.6667	2.6667	4.6667	4.4	4.25	4.75	4.75	4.325	4.75	2.6667	3	2.3333	3	20	25	25	27	24	7	15	12	0	171
840	2	62	2	3	3	70	5	4	5	4	2	3	3	2	2	7	5	7	6	6	6	6	5	4.6667	4	3	4.3333	3.6667	5	4	4.5	5	5.75	4.25	5.375	2.8333	2	3	2.6667	21	27	23	22	21	7	22	12	3	168
855	2	51	0	3	3	60	5	5	5	5	2	2	1	1	1	6	3	5	5	6	7	7	6	3.6667	6	5	4.3333	5	5	4.2	5	2.75	6	4.6	4.375	3.5	3	3	3.3333	24	20	17	26	21	9	28	4	4	177
856	1	59	2	3	3	80	5	5	5	5	1	1	1	1	1	6	6	7	6	7	7	6	6	5.6667	5	5.4	5.6667	5.3333	5.6667	5	5	5	5	5	5	4	3.75	4	4	27	27	27	26	26	9	27	2	1	206
873	2	61	2	2	3	70	4	5	5	3	2	2	2	2	2	6	4	5	6	6	6	6	5	5	5.3333	5	4.3333	5	5	4.4	5.25	4.25	4	4.825	4.125	3	3.5	3	3.6667	21	26	20	25	24	8	24	5	1	182
874	2	44	0	2	1	10	5	3	5	5	4	6	5	5	2	6	4	6	7	6	6	7	5	4.6667	4.6667	5.6	3.6667	2.6667	5.3333	4	4.75	4.75	5.75	4.375	5.25	2.5	3.75	3.3333	3	19	26	14	22	21	2	24	10	1	157
875	2	47	1	2	3	60	4	5	4	3	3	3	3	3	3	5	5	6	5	6	7	7	4	5	5	5.4	3.6667	5.6667	5.3333	4.2	5.25	3.75	4.75	4.725	4.25	3.6667	3.5	3.3333	3.3333	24	25	21	22	23	7	22	11	2	171
876	1	75	4	4	4	80	5	5	5	6	2	1	2	3	4	7	7	7	5	7	7	7	7	4.3333	4	5.4	5	5	5.3333	4.8	5.5	6	5	5.15	5.5	3.1667	3.25	3.6667	4	27	28	26	27	27	9	28	6	2	204
884	2	61	2	3	3	60	4	4	4	4	2	2	1	1	1	6	6	6	6	6	4	6	6	5	4	5.4	3	4.3333	5.3333	3.8	4	4.5	2.5	3.9	3.5	2.8333	3.5	4	4	22	22	26	25	25	9	23	6	0	186
885	2	58	4	2	3	90	4	4	4	4	1	1	1	1	1	7	6	7	7	7	7	7	7	6	6	5.8	6	6	6	5.4	5.75	5.5	6	5.575	5.75	3.8333	3.75	4	4	28	30	30	30	25	10	29	1	0	221
890	2	65	1	2	3	30	4	4	4	3	3	2	2	3	3	5	5	5	5	5	6	5	5	4.3333	4.6667	4.8	2	4	5	4.4	4.25	4.25	4.5	4.325	4.375	3	3.25	2	2.6667	22	25	26	26	23	8	23	13	0	180
892	2	62	2	3	3	80	3	4	3	3	3	2	1	1	4	5	5	5	5	5	6	6	6	4.6667	4.6667	4.8	5	4	5.3333	4.2	4	3.5	4.25	4.1	3.875	2.8333	3.5	3.6667	3	21	22	19	22	22	7	13	4	2	160
894	2	38	2	2	3	70	4	4	4	4	2	4	4	4	4	6	5	6	6	6	6	6	6	4.3333	5	5	4.3333	5	5	4	4.25	4	4.25	4.125	4.125	3.3333	3.25	3.6667	3.3333	21	25	23	24	22	7	24	5	7	174
895	1	37	0	2	3	50	4	4	4	4	3	4	3	4	4	4	4	4	4	4	4	4	4	5	5	5	2	4	4	4	4	4	4	4	4	3	3	2	2	20	22	20	21	22	7	18	15	5	150
896	2	54	3	2	3	50	4	4	4	4	2	3	3	3	3	6	6	6	7	7	7	7	7	4.3333	5.3333	5	5	3.6667	4.6667	4.2	4.5	4.75	5	4.35	4.875	3.1667	3.75	3.3333	3.3333	24	17	26	20	19	8	21	9	5	161
898	2	54	3	2	3	50	4	4	4	4	2	3	3	3	3	6	6	6	7	7	7	7	7	4.3333	5.3333	5	5	3.6667	4.6667	4.2	4.5	4.75	5	4.35	4.875	3.1667	3.75	3.3333	3.3333	24	17	26	20	19	8	21	9	5	161
899	2	59	3	4	3	50	3	4	2	4	2	3	2	2	4	6	6	5	6	7	7	7	6	4.6667	5	5.2	4.6667	4.3333	3.6667	5.2	4.5	3.25	3.25	4.85	3.25	3.3333	3.5	4	4	24	25	29	27	25	8	13	12	0	179
903	2	53	3	3	3	60	4	4	4	4	3	3	3	3	1	6	5	6	5	6	5	5	6	5.3333	4.3333	4.4	3.6667	4.3333	4.3333	3.8	3.25	2	1.5	3.525	1.75	3.3333	3	3	3.3333	24	28	26	27	19	9	26	5	1	193
906	2	33	0	4	3	50	4	4	4	5	3	4	4	4	3	6	6	6	6	7	6	6	6	5	5	5.2	3	4.3333	4.3333	4.4	4.75	4.5	5	4.575	4.75	3.5	3.75	2.3333	3.3333	25	19	26	25	25	9	24	18	1	174
